names,orig_lang,budget_x,revenue,country,number_of_oscar_winners,main_genre,release_month,release_year
Pearl,English,1000000,9423445,AU,0,Horror,03,2023
Nightbooks,English,119600000,400881081,US,0,Fantasy,09,2021
Queen of Spades,English,89000000,356423971.8,US,0,Horror,06,2021
Avatar: Scene Deconstruction,English,90100000,414551647.4,US,0,Documentary,12,2009
The Curious Case of Benjamin Button,English,160000000,329631958,AU,1,Drama,12,2008
Léon: The Professional,English,16000000,45284974,AU,2,Crime,04,1995
Cloudy with a Chance of Meatballs,English,100000000,236827677,AU,0,Animation,11,2009
"As Above, So Below",English,5000000,41824066,US,0,Horror,08,2014
The School of the Magical Animals,German,11700000,13128530,AU,0,Family,05,2022
Tarumama,"Spanish, Castilian",66500000,865251451.2,CO,0,Horror,07,2021
Fantastic Beasts: The Crimes of Grindelwald,English,200000000,648455339,AU,1,Fantasy,11,2018
Focus,English,65000000,168065700,AU,0,Romance,03,2015
Barbie Mariposa,English,123000000,544213599.8,US,0,Animation,02,2008
Ancient Chinese Whorehouse,Cantonese,163600000,812667214.2,HK,0,NA,09,1994
The School Teacher,Italian,70800000,591573175.2,IT,0,Comedy,07,1975
Darby and the Dead,English,115200000,243434798.2,US,0,Comedy,12,2022
Monster House,English,75000000,141267370,US,0,Animation,06,2006
Evil Dead II,English,3500000,5927557,AU,0,Horror,11,1987
Vesper,English,44740000,889529,FR,0,Science Fiction,08,2022
Teenage Mutant Ninja Turtles: Out of the Shadows,English,135000000,245328374,AU,0,Action,09,2016
Dragon Ball Super: Broly,Japanese,8500000,122747755,AU,0,Action,01,2019
The Green Inferno,English,1000000,12931420,CA,0,Horror,09,2013
The Angry Birds Movie,English,73000000,352288341,AU,1,Animation,05,2016
Marmaduke,English,50000000,89895930,US,0,Animation,05,2022
I Spit on Your Grave III: Vengeance is Mine,English,3970000,144420,AU,0,Horror,11,2015
Cloudy with a Chance of Meatballs 2,English,78000000,274392649,AU,0,Animation,11,2013
Dragon Ball Z: Gather Together! Goku's World,Japanese,143000000,536922531.6,JP,0,Action,09,1992
Porno document: Toruko tokkyû bin,Japanese,201000000,1569323843.8,JP,0,NA,02,1982
Over the Hedge,English,80000000,343397247,AU,0,Family,06,2006
The Student,"Dutch, Flemish",167400000,997517367.8,NL,0,Drama,09,2015
Trollhunters: Rise of the Titans,English,123600000,528996094.2,US,0,Animation,07,2021
Hatching,Finnish,3896000,490000,AU,0,Horror,05,2022
Cinderella III: A Twist in Time,English,132000000,527765510.6,US,0,Animation,02,2007
Undisputed,English,20000000,12398628,AU,0,Drama,08,2002
Night at the Museum: Secret of the Tomb,English,127000000,353756621,AU,1,Adventure,12,2014
Woody Woodpecker,English,10000000,232887659.4,BR,0,Comedy,10,2017
Gods of Egypt,English,140000000,138836756,AU,1,Action,02,2016
Valerian and the City of a Thousand Planets,English,180000000,215098356,AU,0,Adventure,08,2017
Bad Boys,English,23000000,141247413,AU,0,Action,04,1995
Snowpiercer,Korean,40000000,86808204,AU,0,Action,06,2014
Prison 77,"Spanish, Castilian",67800000,653988016.4,ES,0,Drama,09,2022
Ip Man: Kung Fu Master,Chinese,104900000,295956304.8,AU,0,Action,04,2021
The Tax Collector,English,30000000,1309971,AU,0,Action,11,2020
Beverly Hills Chihuahua,English,20000000,154218168,US,0,Comedy,10,2008
Anacondas: The Hunt for the Blood Orchid,English,25000000,70326393,AU,0,Adventure,10,2004
"Yes, No, or Maybe Half?",Japanese,117000000,310581759,JP,0,Animation,12,2020
Cuando Sea Joven,"Spanish, Castilian",121500000,895465912.4,MX,0,Comedy,09,2022
All Saints,English,2000000,5946780,US,0,Drama,08,2017
Final Destination 3,English,25000000,112798051,AU,0,Horror,04,2006
Invasion,Russian,8819200,32104054,RU,0,Science Fiction,01,2020
Sword Art Online: The Movie – Ordinal Scale,Japanese,52023622.6,20725409,JP,0,Animation,02,2017
Chor Nikal Ke Bhaga,Hindi,68200000,533415608.8,IN,0,Crime,03,2023
Saul: The Journey to Damascus,"Spanish, Castilian",81200000,472749495.2,CA,0,Drama,04,2014
Mission: Impossible III,English,150000000,399387745,AU,0,Adventure,05,2006
Más respeto que soy tu madre,"Spanish, Castilian",95240000,570086135.4,AR,0,Comedy,09,2022
Martyrs,French,6500000,1100000,FR,0,Horror,09,2008
The Medium,Thai,29296922,7230000,TH,0,Horror,10,2021
All the Old Knives,English,172000000,558932442.4,AU,0,Thriller,04,2022
How I Became a Superhero,French,18000000,136893678.6,FR,0,Science Fiction,09,2020
Awake,English,8600000,32968648,AU,0,Drama,06,2021
Queenpins,English,7000000,245194227,AU,0,Comedy,02,2022
"I, Robot",English,105000000,348629585,AU,0,Action,07,2004
The Passenger,"Spanish, Castilian",158740000,297572432,ES,0,Horror,10,2021
Sex Stories,"Spanish, Castilian",73800000,346352260.6,CL,0,Drama,01,1999
Bee Movie,English,150000000,287594577,AU,1,Family,12,2007
The Swimmers,English,60800000,403954482.4,GB,0,Drama,10,2022
Umma,English,5220017.8,2118582,AU,0,Horror,05,2022
The Pursuit of Happyness,English,55000000,307311093,AU,0,Drama,01,2007
Diary of a Nymphomaniac,"Spanish, Castilian",127800000,578598408,ES,0,Drama,10,2008
Proximity,English,87400000,429853402,US,0,Science Fiction,05,2020
Sucker Punch,English,75000000,89758389,AU,0,Action,04,2011
Rape Zombie: Lust of the Dead,Japanese,130600000,402321619.8,JP,0,Comedy,02,2012
The Other Side of Heaven 2: Fire of Faith,English,134000000,567719433.8,US,0,Drama,06,2019
The Expendables 2,English,100000000,311979256,AU,0,Action,08,2012
Edge of Tomorrow,English,178000000,367028980,AU,0,Action,06,2014
Veneciafrenia,"Spanish, Castilian",146500000,321770184.6,ES,0,Horror,04,2022
Sinbad: Legend of the Seven Seas,English,60000000,80767884,AU,0,Family,07,2003
50 Greatest Harry Potter Moments,English,79500000,708023892.4,GB,0,Documentary,07,2011
Barbie in A Mermaid Tale,English,30400000,16441438,AU,0,Animation,03,2010
Cyber Hell: Exposing an Internet Horror,Korean,53600000,682429959.6,KR,0,Documentary,05,2022
Dangerous Lesson,Korean,119600000,362461687.2,KR,0,Drama,10,2020
The Voyeur,Italian,152200000,866174577.8,IT,0,Drama,01,1994
Thirteen Lives,English,55000000,276620676.6,US,0,Drama,07,2022
Summit Fever,English,115000000,604531768.4,AU,0,Thriller,01,2023
Kiki's Delivery Service,Japanese,6900000,4493017,AU,0,Animation,06,1991
Saint Seiya: Evil Goddess Eris,Japanese,82840000,248933961.2,JP,0,Action,07,1987
The Wild,English,80000000,99010667,AU,0,Family,09,2006
Saw 3D,English,17000000,133735284,AU,0,Horror,10,2010
Justice League: The Flashpoint Paradox,English,3500000,58191345.4,US,0,Science Fiction,07,2013
Mortal Kombat Legends: Scorpion's Revenge,English,152800000,679406442.6,AU,0,Animation,05,2020
David and Goliath,English,245000000,695603768.6,US,0,Action,03,2015
Blitz,English,15774948,15800000,AU,0,Crime,07,2011
The Last Zombie,"Spanish, Castilian",89000000,356423971.8,AR,0,Horror,12,2021
Meet the Robinsons,English,150000000,169332978,AU,0,Animation,03,2007
Edward Scissorhands,English,20000000,53980220,AU,0,Fantasy,01,1991
The Matrix Revolutions,English,150000000,427300260,AU,0,Adventure,11,2003
Old People,German,103600000,134150172.6,DE,0,Horror,10,2022
Hot Seat,English,115000000,604531768.4,US,0,Thriller,07,2022
Anastasia,English,53000000,139801096,AU,0,Animation,06,1998
"Barbie: Big City, Big Dreams",English,128000000,835595551.6,GB,0,Animation,08,2021
The Grey,English,25000000,81249176,AU,0,Drama,02,2012
Come Play With Me,"Spanish, Castilian",52000050,1753826,MX,0,Horror,02,2021
Dumb and Dumber To,English,40000000,156553592,AU,0,Comedy,01,2015
Alvin and the Chipmunks: The Squeakquel,English,70000000,443483213,AU,0,Comedy,12,2009
Never Back Down,English,21000000,39319801,AU,0,Drama,03,2008
The Misfits,English,4000000,8200000,AU,0,Action,07,2021
Sooryavanshi,Hindi,13000000,37700000,AU,0,Action,11,2021
Spoiler Alert,English,90000000,480423590.2,AU,1,Comedy,02,2023
The Patriot,English,110000000,215300000,AU,0,Drama,07,2000
Saint Seiya: Warriors of the Final Holy Battle,Japanese,122200000,521690705.8,JP,0,Action,03,1989
London Has Fallen,English,60000000,195194085,AU,0,Action,03,2016
Ghost in the Shell,English,110000000,167910690,AU,0,Action,03,2017
Rocky V,English,42000000,119946358,AU,0,Drama,12,1990
Seobok: Project Clone,Korean,161200000,220782511.8,KR,0,Science Fiction,04,2021
The Legend of La Llorona,"Spanish, Castilian",90600000,645862042.6,MX,0,Family,10,2011
Flushed Away,English,149000000,179357126,AU,1,Adventure,12,2006
Diary of a Wimpy Kid,English,15000000,76954311,AU,0,Animation,12,2021
Texas Chainsaw 3D,English,20000000,47666013,US,0,Horror,01,2013
Star Trek,English,140000000,386839614,AU,0,Science Fiction,05,2009
Planes,English,50000000,219788712,AU,0,Animation,09,2013
Something the Lord Made,English,127200000,514937689.6,US,0,TV Movie,05,2004
Blade,English,45000000,131237688,AU,0,Horror,10,1998
Seed of Chucky,English,29000000,24716190,US,0,Comedy,11,2004
Men in Black 3,English,215000000,654213485,AU,1,Action,05,2012
Skyfall,English,200000000,1110526981,AU,0,Action,11,2012
Final: The Rapture,English,1543757.2,124561,US,0,Thriller,09,2013
Father Stu,English,4000000,21806425,AU,0,Drama,05,2022
Young Sister-in-Law 3,Korean,117600000,174067112.2,KR,0,Romance,12,2017
The Fox and the Hound,English,12000000,29800000,AU,0,Adventure,12,1981
Alice no Mundo da Internet,Portuguese,47270000,329856760.8,BR,0,Adventure,08,2022
Snow White and the Huntsman,English,170000000,401021746,AU,1,Adventure,06,2012
Last Shift,English,134000000,492292832.2,US,0,Horror,10,2015
Guinea Pig: Devil's Experiment,Japanese,57800000,519287241.4,US,0,Horror,09,1985
The Walk,English,35000000,61492104,US,0,Drama,06,2022
Outside the Wire,English,94800000,250162022,AU,0,Thriller,01,2021
Whisper of the Heart,Japanese,128800000,1136130193.2,AU,0,Animation,01,2006
Private Lesson,Turkish,73480000,372756516,TR,0,Comedy,12,2022
Monsters vs Aliens,English,175000000,381509870,AU,1,Animation,04,2009
Legally Blonde,English,18000000,141809235,AU,1,Comedy,10,2001
Norbit,English,10000000,159313561,AU,0,Comedy,02,2007
Superman,English,55000000,300200000,AU,2,Science Fiction,12,1978
Sneakers,English,23000000,105232691,AU,2,Comedy,10,1992
The Apocalypse,English,84600000,862758779.2,DE,0,Fantasy,12,2000
Full Metal Jacket,English,30000000,45017134,AU,0,Drama,12,1987
The Hunchback of Notre Dame,English,100000000,325500000,AU,0,Drama,09,1996
Megalodon,English,130178,5303,AU,0,Action,12,2018
War of the Worlds,English,132000000,606836535,AU,0,Adventure,06,2005
Ticket to Paradise,English,60000000,172152007,AU,1,Romance,09,2022
Back to the Future Part II,English,40000000,331971868,AU,0,Adventure,12,1989
I'm innocent,English,54000000,327139851.8,PE,0,Comedy,01,2023
Life,English,75000000,73521587,AU,0,Horror,03,2017
Life,English,58000000,101815660,AU,0,Horror,03,2017
The Bribe of Heaven,"Spanish, Castilian",103740000,608633534,CO,0,Comedy,03,2016
To All the Boys I've Loved Before,English,105800000,667037174.8,AU,0,Comedy,08,2018
I Spit on Your Grave 2,English,36708225.8,678604,US,0,Thriller,09,2013
"Ruby Gillman, Teenage Kraken",English,264940000,175269998.8,US,0,Animation,06,2023
No Strings Attached,English,25000000,149228078,AU,1,Comedy,02,2011
Candyman,English,25000000,77411570,AU,0,Horror,08,2021
Dog Gone,English,113800000,283576013.8,US,0,Family,01,2023
The Punisher,English,33000000,54533774,AU,0,Action,06,2004
Death on the Nile,English,90000000,130298184,AU,0,Mystery,02,2022
Deuce Bigalow: Male Gigolo,English,18000000,92935067,AU,0,Comedy,01,2000
Lilo & Stitch 2: Stitch Has a Glitch,English,126000000,707739512,US,0,Animation,08,2005
The Shining,English,19000000,45613093,AU,1,Horror,11,1980
Secret Society of Second Born Royals,English,156000000,725574518,US,0,Action,09,2020
King Kong,English,207000000,550517357,AU,1,Adventure,12,2005
King Kong,English,23000000,90614445,AU,1,Adventure,12,2005
King Kong,English,672000,10001781,AU,1,Adventure,12,2005
Resident Evil: Vendetta,Japanese,176600000,577927735.6,JP,0,Animation,05,2017
Conan the Barbarian,English,90000000,63356133,AU,0,Adventure,08,2011
Conan the Barbarian,English,20000000,79114085,AU,0,Adventure,08,2011
The Wrath of God,"Spanish, Castilian",88600000,365470598,AR,0,Thriller,06,2022
Dragon Ball: Episode of Bardock,Japanese,154000000,749502771.4,JP,0,Action,12,2011
Police Academy,English,4500000,81198894,AU,0,Comedy,04,1984
Wrong Turn 6: Last Resort,English,1200000,3174356,US,0,Horror,10,2014
The Devil's Advocate,English,57000000,152944660,AU,2,Drama,01,1998
The Grudge,English,10000000,187281115,AU,0,Horror,01,2020
The Grudge,English,10000000,49503117,AU,0,Horror,01,2020
Speed,English,30000000,283200000,AU,1,Action,06,1994
Batman: Death in the Family,English,86800000,231173551.8,US,0,Animation,10,2020
Cherry Magic! THE MOVIE,Japanese,96140000,594575394.8,JP,0,Comedy,04,2022
White Snake,Chinese,11936735,61631776,CN,0,Romance,01,2019
Infinity Pool,English,4500000,5078400,AU,0,Horror,05,2023
Psycho,English,20000000,37226218,AU,0,Horror,09,1960
A Dog's Purpose,English,22000000,205035819,AU,0,Adventure,05,2017
Salt,English,130000000,290650494,AU,0,Action,08,2010
Sinister,English,3000000,87727807,AU,0,Horror,11,2012
Shin Ultraman,Japanese,5900000,33800000,JP,0,Drama,05,2022
Barbie: A Fairy Secret,English,66400000,318617662.4,US,0,Animation,03,2011
The Old Way,English,102400000,208453066.2,AU,1,Western,04,2023
Blue Thermal,Japanese,190400000,1220832375,JP,0,Animation,03,2022
The Good Nurse,English,118800000,806055991.2,AU,1,Drama,10,2022
Shutter,Thai,8000000,47782426,TH,0,Horror,09,2004
Freddy vs. Jason,English,25000000,114576403,AU,0,Horror,10,2003
I See You,English,3000000,191599758.4,AU,1,Thriller,07,2020
Overboard,English,12000000,91244913,US,0,Romance,05,2018
Enchanted,English,85000000,340384141,AU,2,Comedy,12,2007
Saw II,English,5000000,152925093,AU,0,Horror,11,2005
The Exorcism of Carmen Farias,"Spanish, Castilian",922000,1474579,MX,0,Horror,05,2021
Cloverfield,English,25000000,171302226,AU,0,Action,01,2008
Barbie in A Mermaid Tale 2,English,27220000,15489307,US,0,Animation,03,2012
Saw III,English,10000000,163876815,AU,0,Horror,11,2006
A Walk Among the Tombstones,English,28000000,62108587,AU,0,Crime,09,2014
Home on the Range,English,110000000,76482461,AU,0,Animation,09,2004
Hocus Pocus,English,28000000,45147989,US,0,Fantasy,07,1993
King Tweety,English,111000000,294668448.4,US,0,Animation,06,2022
The Polar Express,English,170000000,312183437,AU,1,Animation,11,2004
The Fox and the Hound 2,English,24000000,120165396.4,AU,0,Adventure,11,2006
Young Sister-In-Law 2,Korean,121400000,492196010.4,KR,0,Romance,02,2017
Kingdom: Ashin of the North,Korean,134800000,489434716.4,KR,0,Drama,07,2021
Central Intelligence,English,50000000,217194805,AU,0,Action,07,2016
ParaNorman,English,60000000,108119662,AU,1,Family,01,2013
Dirty Grandpa,English,11500000,105078449,AU,1,Comedy,01,2016
The Case of the Bloody Iris,Italian,110000000,244165005.2,US,0,Thriller,08,1972
Scott Pilgrim vs. the World,English,85000000,48000000,AU,0,Action,08,2010
Straight Outta Compton,English,28000000,202182981,AU,0,Drama,08,2015
His Only Son,English,174600000,175269998.8,US,0,Drama,03,2023
Mission: Impossible II,English,125000000,546388105,AU,1,Adventure,06,2000
Underworld: Evolution,English,45000000,113417762,AU,0,Fantasy,01,2006
The Stranger by the Shore,Japanese,112800000,842709295,JP,0,Animation,09,2020
Love Like the Falling Petals,Japanese,86000000,568108808.2,JP,0,Romance,03,2022
Unknown,English,40000000,136123083,AU,0,Action,02,2011
Unknown,English,3700000,3355048,AU,0,Action,02,2011
Amsterdam,English,80000000,29400826,AU,2,Comedy,10,2022
Men of Honor,English,32000000,82339483,AU,2,Drama,07,2001
Violet Evergarden: Eternity and the Auto Memory Doll,Japanese,8745556.2,10841702,JP,0,Drama,09,2019
Insidious: Chapter 3,English,10000000,112983889,US,0,Horror,05,2015
Jonah Hex,English,47000000,11022696,AU,0,Action,08,2010
Alpha,English,51000000,99624873,AU,0,Adventure,09,2018
Men in Black II,English,140000000,445135288,AU,0,Action,07,2002
Kill Bill: Vol. 1,English,30000000,180906076,AU,0,Action,10,2003
The Mermaid,Chinese,60720000,553810228,CN,0,Comedy,02,2016
Angel Guts: Red Porno,Japanese,119600000,362461687.2,JP,0,Drama,12,1981
Super 8,English,50000000,257972745,AU,0,Thriller,06,2011
Mario,German,58000000,626713614.8,CH,0,Drama,02,2018
Planet of the Apes,English,100000000,362211740,US,1,Science Fiction,02,1968
Planet of the Apes,English,5800000,33398936,US,1,Science Fiction,02,1968
Godmothered,English,93600000,551804687,US,0,Family,12,2020
Braveheart,English,72000000,209045244,AU,0,Action,06,1995
Julia,German,6000000,1365108,DE,0,Comedy,11,1974
Hitman's Wife's Bodyguard,English,70000000,70060492,AU,0,Action,06,2021
Geostorm,English,100000000,220796009,AU,0,Action,10,2017
The Time Capsule,English,91200000,538716016.6,AU,0,Drama,07,2022
The Final Destination,English,40000000,187384627,AU,0,Horror,10,2009
6 Underground,English,150000000,0,AU,0,Action,12,2019
Ip Man: The Awakening,Chinese,126371600,390628267.6,CN,0,Action,09,2021
The NeverEnding Story,English,27000000,20158808,AU,0,Adventure,12,1984
High & Low The Worst X,Japanese,89900000,385422345,JP,0,Action,09,2022
Women Talking,English,30408000,7589419,AU,0,Drama,02,2023
Fantastic Four: Rise of the Silver Surfer,English,120000000,289480691,AU,0,Adventure,10,2007
The Departed,English,90000000,289660619,AU,1,Drama,10,2006
Barbie in the Nutcracker,English,98140000,494358731.6,AU,0,Animation,10,2002
Cannibal Holocaust,Italian,100000,183851589.4,IT,0,Horror,02,1980
Porno,English,83600000,373122738.8,US,0,Comedy,05,2020
Kick-Ass 2,English,28000000,63129909,AU,0,Action,08,2013
The Matrix Reloaded,English,150000000,738576929,AU,0,Adventure,05,2003
Don't Stop My Crazy Love for You,Cantonese,101800000,858637629,HK,0,Thriller,04,1993
Barbie as the Island Princess,English,115500000,425732545.6,US,0,Animation,09,2007
101 Dalmatians,English,54000000,320689294,AU,0,Family,12,1996
The Adventures of Sharkboy and Lavagirl,English,50000000,71992655,US,0,Adventure,06,2005
Minions,English,74000000,1157271759,AU,2,Family,06,2015
Space Sweepers,Korean,21000000,24571,KR,0,Drama,02,2021
Happy Feet Two,English,135000000,157956462,AU,0,Animation,12,2011
The Boy Who Harnessed the Wind,English,160000000,527512518,GB,0,Drama,02,2019
Nobody Sleeps in the Woods Tonight,Polish,121600000,346296946.4,PL,0,Horror,03,2020
The Japanese Wife Next Door: Part 2,Japanese,110000000,271669045.6,JP,0,Comedy,06,2004
Peter von Kant,French,127800000,578598408,FR,0,Drama,07,2022
Raped by an Angel 4: The Rapist's Union,Cantonese,97140000,181655466.4,HK,0,Thriller,01,1999
Superman: Doomsday,English,3500000,279809037,AU,0,Action,11,2007
Robin Hood,English,210000000,322459006,AU,3,Action,05,2010
Robin Hood,English,99000000,85210012,AU,3,Action,05,2010
"Moses, Prince of Egypt",English,80300000,321306715.6,AU,0,NA,01,2000
Three Sexy Meals,Korean,9541040,38139010,KR,0,Drama,11,2016
The Texas Chainsaw Massacre: The Beginning,English,16000000,50517763,AU,0,Horror,11,2006
Dead Poets Society,English,16400000,239500000,AU,0,Drama,07,1989
Jigsaw,English,10000000,104223315,US,0,Horror,10,2017
Oz the Great and Powerful,English,200000000,490359051,AU,0,Fantasy,03,2013
Pan's Labyrinth,"Spanish, Castilian",19000000,83258226,AU,0,Fantasy,10,2006
Bruiser,English,47220616.4,319773152.6,US,0,Drama,12,2022
Greyhound,English,50300000,0,AU,1,War,07,2020
Little Man,English,64000000,101636047,US,0,Comedy,08,2006
Purpose of Reunion 2,Korean,129200000,947468745.8,KR,0,Drama,08,2017
Kingdom of Heaven,English,110000000,218674938,AU,1,Drama,05,2005
Black Hawk Down,English,95000000,159691085,AU,0,Action,02,2002
The New Mutants,English,67000000,44608247,AU,0,Horror,09,2020
22 Jump Street,English,50000000,331333876,AU,0,Crime,06,2014
The Angry Birds Movie 2,English,65000000,152255188,AU,0,Animation,09,2019
Flipped,English,14000000,4294635,AU,0,Romance,01,2011
The Handmaiden,Korean,8575000,37767206,AU,0,Thriller,06,2016
Nanny McPhee,English,25000000,128745578,AU,2,Fantasy,01,2006
Jason Goes to Hell: The Final Friday,English,3000000,15935068,US,0,Horror,08,1993
The English Patient,English,35000000,231710008,US,1,Drama,11,1996
Universal Soldier: Regeneration,English,14000000,875386,AU,0,Adventure,07,2010
Zeros and Ones,English,154600000,678277032,AU,0,War,03,2022
Dark Cloud,English,126200000,381129532.6,US,0,Science Fiction,06,2022
Beautiful Teacher in Torture Hell,Japanese,109000000,385100558,JP,0,Drama,12,1985
King Arthur: Legend of the Sword,English,175000000,139630336,AU,0,Action,05,2017
Love and Monsters,English,30000000,1131683,AU,0,Comedy,04,2021
22 Bullets,French,24000000,247131881.6,AU,0,Drama,03,2010
Eva,Tagalog,91000000,507113605.4,PH,0,Drama,12,2021
Halloween,English,15000000,77514401,AU,0,Horror,06,1979
Halloween,English,10000000,255416089,AU,0,Horror,06,1979
Halloween,English,325000,70274000,AU,0,Horror,06,1979
The Hunting,English,147180000,222629230.6,US,0,Horror,01,2022
Delicious Room Salon Service 2,Korean,136400000,328929749.2,KR,0,Romance,09,2019
Elite Squad,Portuguese,4000000,14759148,AU,0,Drama,02,2009
101 Dalmatians II: Patch's London Adventure,English,131600000,520075508,AU,0,Family,11,2002
A Clockwork Orange,English,2200000,26589000,AU,0,Science Fiction,02,1972
Blonde,English,22000000,103705080,AU,1,Drama,09,2022
Machete,English,12500000,46370970,AU,1,Action,11,2010
The Bank Job,English,20000000,66143005,AU,0,Thriller,07,2008
"Love, Rosie",English,31011149.2,4439431,AU,0,Comedy,11,2014
I'm in Love with a Church Girl,English,3000000,2503392,US,0,Drama,10,2013
Curious Caterer: Dying for Chocolate,English,94650000,177073227.2,US,0,TV Movie,04,2022
Death Race 2,English,7000000,49506597,AU,0,Action,11,2010
Oldboy,Korean,3000000,6219559,AU,0,Drama,05,2004
Living with Chucky,English,112000000,269440443.4,US,0,Documentary,08,2022
Now You See Me 2,English,90000000,328325007,AU,0,Crime,06,2016
Tentacles,English,141400000,366483408.2,US,0,Horror,02,2021
Barbie and the Three Musketeers,English,115500000,425732545.6,US,0,Animation,09,2009
Hulk,English,137000000,245031679,AU,0,Science Fiction,06,2003
Don't Leave,Turkish,114800000,384414469.8,TR,0,Romance,11,2022
The Call,English,12800000,69821476,AU,1,Crime,05,2013
12 Angry Men,English,340000,379,AU,1,Drama,10,1957
Once Upon a Deadpool,English,115200000,498499412.2,AU,0,Comedy,12,2018
A Nun's Curse,English,92600000,353391998.4,US,0,Horror,05,2020
The Professional Bridesmaid,English,246000000,178359863,US,0,TV Movie,04,2023
Pornocracy: The New Sex Multinationals,French,41500000,298690257.2,FR,0,Documentary,01,2017
Saint Seiya: Legend of Crimson Youth,Japanese,104800000,396856477.4,JP,0,Action,07,1988
Skyline,English,10000000,68264973,AU,0,Science Fiction,11,2010
The Emoji Movie,English,50000000,216564839,AU,0,Animation,09,2017
Phineas and Ferb: The Movie: Candace Against the Universe,English,130000000,651222242,AU,0,Family,08,2020
SAS: Red Notice,English,160000000,561970766,AU,0,Drama,08,2021
Fantastic Four,English,87500000,333132750,AU,0,Action,08,2015
Assassin's Creed,English,125000000,240697856,AU,2,Action,01,2017
A Question of Faith,English,7048000,2587072,US,0,Drama,09,2017
Take the Lead,English,30000000,65390493,AU,0,Comedy,05,2006
The Kissing Booth 2,English,105800000,667037174.8,AU,0,Comedy,07,2020
Marry Me,English,23000000,44000000,AU,0,Romance,02,2022
Father There Is Only One,"Spanish, Castilian",3400000,15894372,ES,0,Comedy,08,2019
Run Sweetheart Run,English,107000000,247575382.6,US,0,Thriller,01,2020
Love Affair,Korean,108200000,196920944.4,KR,0,Drama,10,2014
The Three Stooges,English,30000000,54052249,AU,0,Comedy,06,2012
Black Swan,English,13000000,331266710,AU,1,Drama,01,2011
Zodiac,English,85000000,83080084,AU,0,Crime,05,2007
Snoopy Presents: Lucy's School,English,134400000,716009340.2,US,0,Family,08,2022
Barbie and the Diamond Castle,English,92800000,609222681.4,AU,0,Animation,09,2008
Nun in Rope Hell,Japanese,88000000,503089616.8,JP,0,Drama,05,1984
Halloween,English,15000000,77514401,AU,0,Horror,10,2018
Halloween,English,10000000,255416089,AU,0,Horror,10,2018
Halloween,English,325000,70274000,AU,0,Horror,10,2018
Halfaouine: Boy of the Terraces,Arabic,103040000,412503777.6,US,0,Comedy,09,1990
3 Idiots,Hindi,9000000,70000000,AU,0,Drama,12,2009
The Girl Next Door,English,25000000,31635150,AU,0,Comedy,08,2004
Brightburn,English,6000000,33224654,AU,0,Horror,05,2019
Martians vs Mexicans,"Spanish, Castilian",94000000,704890509.2,MX,0,Animation,03,2018
Underdogs,"Spanish, Castilian",2500000,1392649,AR,0,Animation,07,2013
Leprechaun,English,1000000,8556940,US,0,Horror,01,1993
Seventh Son,English,95000000,108874967,AU,2,Adventure,03,2015
Justice League: Doom,English,66600000,439119920.6,US,0,Action,02,2012
"Batman: The Long Halloween, Part One",English,141000000,937353330.4,AU,0,Animation,07,2021
The Magnificent Seven,English,90000000,162122642,AU,1,Western,07,1987
Barbie and the Magic of Pegasus,English,127000000,816420246.8,US,0,Animation,10,2005
Sweet & Sour,Korean,98960000,806179002.2,KR,0,Drama,06,2021
City of God,Portuguese,3300000,30641770,AU,0,Drama,08,2002
Halftime,English,152000000,628779204.4,US,1,Documentary,06,2022
Where the Crawdads Sing,English,24000000,136539552,AU,0,Mystery,07,2022
Children of Men,English,76000000,69845011,AU,1,Drama,10,2006
The Garden of Words,Japanese,61000000,339269019.4,AU,0,Animation,04,2013
Chinese Erotic Ghost Story,English,9541040,38139010,HK,0,Horror,06,1998
Once Upon a Time in America,English,30000000,5576529,AU,1,Drama,10,1984
The Companions,French,78700000,485621788.4,FR,0,Comedy,02,2022
Ride On,Chinese,127600000,243434798.2,CN,0,Comedy,04,2023
Total Recall,English,125000000,211856088,AU,0,Action,09,2012
Total Recall,English,65000000,261399830,AU,0,Action,09,2012
Mechanic: Resurrection,English,40000000,125729635,AU,0,Action,08,2016
The Sixth Sense,English,40000000,672806292,AU,0,Mystery,10,1999
Avengers Confidential: Black Widow & Punisher,Japanese,114800000,304552465,US,0,Animation,03,2014
Three Swedish Girls in Upper Bavaria,German,114000000,449042622,DE,0,Comedy,10,1977
Bloodshot,English,45000000,37163054,AU,0,Action,03,2020
Simple Passion,French,3001100,75167,AU,0,Romance,02,2022
Wifelike,English,113400000,652368753.6,US,0,Science Fiction,08,2022
Batman,English,35000000,411348924,AU,1,Fantasy,08,1989
No Country for Old Men,English,25000000,164035753,AU,0,Crime,12,2007
The Lego Movie,English,60000000,468084718,AU,0,Animation,04,2014
Peppermint,English,25000000,51800758,AU,0,Action,12,2018
Schächten,German,167000000,660864312.8,US,0,Drama,07,2022
Skylines,English,70000000,203847277.2,AU,0,Science Fiction,10,2020
Naruto the Movie: Guardians of the Crescent Moon Kingdom,Japanese,25634800,3224000,JP,0,Adventure,08,2006
All Things Fair,Swedish,78000000,251777647.4,SE,0,Drama,11,1995
Pixie Hollow Games,English,165000000,509012026.8,US,0,Animation,11,2011
The Munsters,English,88000000,187212327.4,US,0,Comedy,09,2022
The Whole Truth,Thai,117600000,653706552.2,US,0,Drama,12,2021
